+--------------+--------+--------+
|    Names     | Labels | Scores |
+--------------+--------+--------+
| eval_001.png |   0    |   0%   |
| eval_002.png |   0    |   0%   |
| eval_003.png |   0    |   0%   |
| eval_004.png |   0    |   0%   |
| eval_005.png |   0    |   0%   |
| eval_006.png |   0    |   1%   |
| eval_007.png |   0    |   2%   |
| eval_008.png |   0    |   0%   |
| eval_009.png |   0    |   0%   |
| eval_010.png |   0    |   0%   |
| eval_011.png |   0    |   0%   |
| eval_012.png |   0    |   0%   |
| eval_013.png |   0    |   0%   |
| eval_014.png |   0    |   0%   |
| eval_015.png |   0    |   0%   |
| eval_016.png |   0    |   0%   |
| eval_017.png |   0    |   0%   |
| eval_018.png |   0    |   0%   |
| eval_019.png |   0    |   0%   |
| eval_020.png |   0    |   0%   |
| eval_021.png |   0    |   0%   |
| eval_022.png |   0    |   0%   |
| eval_023.png |   0    |   1%   |
| eval_024.png |   0    |   0%   |
| eval_025.png |   0    |   2%   |
| eval_026.png |   0    |   0%   |
| eval_027.png |   0    |   0%   |
| eval_028.png |   0    |   0%   |
| eval_029.png |   0    |   0%   |
| eval_030.png |   0    |   3%   |
| eval_031.png |   0    |   0%   |
| eval_032.png |   0    |   0%   |
| eval_033.png |   0    |   0%   |
| eval_034.png |   0    |   0%   |
| eval_035.png |   0    |   0%   |
| eval_036.png |   0    |   0%   |
| eval_037.png |   0    |   0%   |
| eval_038.png |   0    |   0%   |
| eval_039.png |   0    |   0%   |
| eval_040.png |   0    |   0%   |
| eval_041.png |   0    |   0%   |
| eval_042.png |   0    |   0%   |
| eval_043.png |   0    |   0%   |
| eval_044.png |   0    |   0%   |
| eval_045.png |   0    |   1%   |
| eval_046.png |   0    |   0%   |
| eval_047.png |   0    |   0%   |
| eval_048.png |   0    |   0%   |
| eval_049.png |   0    |   0%   |
| eval_050.png |   0    |   0%   |
| eval_051.png |   0    |   0%   |
| eval_052.png |   0    |   0%   |
| eval_053.png |   0    |   0%   |
| eval_054.png |   0    |   0%   |
| eval_055.png |   0    |   0%   |
| eval_056.png |   0    |   0%   |
| eval_057.png |   0    |   0%   |
| eval_058.png |   0    |   0%   |
| eval_059.png |   1    |  83%   |
| eval_060.png |   0    |   0%   |
| eval_061.png |   0    |   0%   |
| eval_062.png |   0    |   0%   |
| eval_063.png |   0    |   0%   |
| eval_064.png |   0    |   0%   |
| eval_065.png |   0    |  13%   |
| eval_066.png |   0    |   0%   |
| eval_067.png |   1    |  38%   |
| eval_068.png |   1    |  47%   |
| eval_069.png |   0    |   7%   |
| eval_070.png |   0    |   0%   |
| eval_071.png |   0    |   0%   |
| eval_072.png |   0    |   0%   |
| eval_073.png |   0    |   0%   |
| eval_074.png |   0    |   0%   |
